Question ID,Answer Given,Time,Uri's Score,Yehonatan's Score,Rachel's Score (Tie braker),Final score,Time (without screenhots)
1,To presbt a numberfrom any given base in a base 10 from,385046.1,8,4,8,8,385046.1
1,transform a number in base representation into base 10 representation,189355.5,4,4,,4,189355.5
1,return the number in the new base,350518.6,8,8,,8,350518.6
1,transform n to base,256009,8,8,,8,256009
1,Represent the given number in the given base,101612.2,8,8,,8,101612.2
1,print num in base,220737.3,8,8,,8,220737.3
1,Returns the same number,320454,0,4,0,0,320454
1,transforms 1234 to 4321 ?,65679.92,0,0,,0,65679.92
1,Takes a number in decimal base and returns the number in a new base,134338.4,8,8,,8,134338.4
1,change the number to be in decimal base,152430.6,4,8,4,4,152430.6
1,it converts the absolute value of number `num` to the base `base`,165538.6,10,10,,10,165538.6
1,"the function takes two arguments a (number) and a (base)
 the result is the remainder times 10 ^ n times we divide the number",478379,0,0,,0,478379
1,changes the base of the number (from binary to decimal etc),73000,4,4,,4,75859.24
1,take number and turn it to base 10?,480007.5,4,4,,4,480007.5
1,take num in base 10 and turn it to base `base`,480028.7,8,8,,8,480028.7
1,לא הצלחתי להבין,412000,0,0,,0,429680.2
1,Convert the input num from base 10 to base {base} (input),205000,8,8,,8,246066.7
1,the code returns the same number it started with in base 10,434773,4,4,,4,434773
1,"I think this function returns ""num"" as represented in a different basis (""base"")
 for example - 
 function(7, 2) will return 111 which is the binary representation of the number 7 (represented in decimal)
 :)",252000,8,8,,8,336251.6
1,the code returns the same number it started with in base 10,480007.5,4,4,,4,1395523
1,returns the square of the num in the base,199853.6,0,0,,0,199853.6
1,"תחילה להסתכל על ערך מוחלט
 הלמעלה של החזקה לפי הבסיס של המספר",247467.7,2,2,,2,247467.7
1,"Returns the ""mirror"" of num",170604.3,0,0,,0,170604.3
1,converts a number from decimal base to a given base,205861.3,8,8,,8,205861.3
2,Converts (base 10) num to the given base.,377107,8,8,,8,377107
2,convert to binary from decimal,198731.8,4,4,,4,198731.8
2,Reinterpret (the abs value of) the number in the given base as if it were written in base 10,389665,6,6,,6,389665
2,To convert num fom its original base to decimal.,95776.49,4,4,,4,95776.49
2,Interpret a number in an arbitrary base and output a number that in decimal base has the same digits (would have carry effects if base > 10).,288447,8,8,,8,288447
2,changing a number from such base to decimal base,94368.05,4,4,,4,94368.05
2,representation on the given num according to the given base,214406.2,8,8,,8,214406.2
2,convert num of base base to base 10,88093.14,4,4,,4,88093.14
2,Converts the number in the desired base.,201144,4,8,8,8,201144
2,"converts the number from (assuming) base 10 to base ""base""",322494.3,8,8,,8,322494.3
2,fibonacci,96259.69,0,0,,0,96259.69
2,Gets a number and returns a new number such that decimal digits of new number will be equal to digits of original number in a given base. This works well only for base <= 10.,274569.3,8,4,8,8,274569.3
2,"this function receive a number, assure that this number is positive and then",156073,2,10,2,2,156073
2,this function receive a number assure that it`s positive and return the number on an other base,49655,10,10,,10,49655
2,this function receive a number and a base and return the number on this base,62000,8,8,,8,68024
2,"the code get numeric number and base. if the number negative, the func turn it to positive. the func return the num in the base of the inserted parameter.",419881,10,10,,10,419881
2,"am not sure
 the returned value is the number of remainders for the nth time we divide the number * 10^n for each loop in sum
 am confused as to what the purpose is",228000,0,0,,0,230929
2,the func get num in decimal base and return the num in the base that insert as an argument to the func,105000,8,8,,8,109481
2,"Transfers the number from the decimal base, to a given base.
 Also ignores if the number is negetive or positive",139000,10,10,,10,146229.5
2,"given a number and a base, the function calculates the absolute value of the number, and after that calculates the base of that number. The exact base is determined by the second parameter.",236671.1,10,10,,10,236671.1
2,"the fucnion calculates the given number in other base.
 the base is given by the second parameter.",157000,8,8,,8,168949.9
2,this function gets a number on a base and converts it to the original number,112000,0,8,0,0,114016.4
2,"presents the num in the given base, for example for 15, 2 we will get 1111",137000,8,8,,8,140328
2,the functon calculate the presentation of num variable in base `base` variable,350000,8,8,,8,355813.9
2,convert number with base 10 to binary,108734.7,4,4,,4,108734.7
2,I think (not sure) that it returns the modulu of dividing the input number by base (didn`t have time to finish)?,461233,0,0,,0,461233
2,Convert number in decimal base to any given base,171000,8,8,,8,182828.8
3,"For chars (or anything actually) in count_chars, it counts how many times they appear in corpus. 
 Each count that is bigger than the threshold is reported (ordered by coumt_chars, lower numbers are ignored).",302492,10,10,,10,302492
3,"returns all chars that are in count_chars and appears more than ""threshold"" times in the corpus",145447.6,10,10,,10,145447.6
3,create array from all the chars that appeared in corpus and count_chars more than the threshold.,162391.7,10,10,,10,162391.7
3,"return array of chars which they exists more than the threshold within corpus, the chars that we are counting must be exists within count_chars",240188.9,10,10,,10,240188.9
3,Construct list of the given chars that appear more than the given threshold in the corpus text.,200496,9,10,9,9,200496
3,"Outputs the subset of ""count_chars"" that consists of all elements that appear more than ""threshold"" times in ""corpus""",251156.8,10,10,,10,251156.8
3,counting the amount of times each chr is in a corpus and then reporting all chrs above a certain threshold,62575.1,9,9,,9,62575.1
3,Returns the appearances number of chars (that we want to count as they appear in count_chars) in corpus (only if the appearances number of each char is bigger than threshold).,378428,8,8,,8,378428
3,return chars that in count_chars chars repeats > threshold times,220030.3,10,10,,10,220030.3
3,It is meant to find which of the characters in count_chars appear in corpus a certain number of times which is above the threshold.,92187.23,10,10,,10,92187.23
3,Return characters from `count_chars` that appear more than `threshold` times in `corpus` string,114348.8,10,10,,10,114348.8
3,this function count the number of times a words from a specific data appear in a text and return those words if they appear more than a specific threshold value,199000,10,10,,10,207465
3,for a list of count_chars it count thier appirance in corpus and return all list with all the chars that appear more then the threshold,279789.2,10,10,,10,279789.2
3,"the func return list of chars. every char form count_chars is add as a key to count_dics with value of 0. every char that in corpus and in count char add 1 to its value in count_dict. for every char in count_chars, if its value bigger then threshold, its add to res list.",402000,6,10,10,10,406841
3,"The code takes in characters that may or may not exist in the ""corpus"" and it counts the number of times each character appears in the ""corpus"" and finally as a result we return the characters that have appeared more times than the given ""threshold"" in the form of a list",173000,10,10,,10,179368
3,"the code returns a list of all char from ""count_chars"" list that appear more than ""theshold"" times in ""corpus""",140000,10,8,10,10,142879
3,this function return a list of characters from the count_chars that appears in a corpus more then the given thresholdF,143000,10,8,10,10,161314.84
3,search in a text a given char and return it if it appear s more times than the threshold,77000,10,5,10,10,84249.05
3,"It counts number of instances of the container ""corpus"" chars from ""count chars"" in the dictionary count chars. but only those instances that strongly above the treshold",229000,8,8,,8,231357.2
3,the function counts the char that appers more than threshold,63000,3,3,,3,70965.42
3,"returns a list of characters in a corpus (param), that appear more than a given threshold.",78749.55,9,9,,9,78749.55
3,"The function returns a list containing the characters, among those given in count_chars, which appear more than threshold times, in corpus",385482.8,10,10,,10,385482.8
3,Puts in res all of the char from count_chars which appeared in corpus more than threshold times.,141467.7,10,10,,10,141467.7
3,return a list with all the words from count_chars that appear in corpus more times than the threshold.,195000,10,10,,10,230520.2
4,copies the items from corpus that are above a certain threshold,461813.7,9,9,,9,461813.7
4,To count chars in corpus list,210348,4,4,,4,210348
4,"for every char in count_chares, it counts the number of times it appears in count_dics.
 return such chars which their number of times is larger than threshold",110682.3,6,6,,6,110682.3
4,"Check if the charchters in count chars in corpus, if a char is, it return it in a list",219275.2,5,5,,5,219275.2
4,"count how many times selected chars exist in a corpus and return
 the number only for the chars that their count is above the threshold",222303.1,8,8,,8,222303.1
4,count apperences of chars in corpus,173426,4,4,,4,173426
4,returns all chars that appear more than threshold times,43491,5,5,,5,43491
4,count occurence of characters within a string,65522.43,4,4,,4,65522.43
4,Counts the number of times a character appears in the given corpus. the output is a list of these characters that are in the given count_chars collection and appear more times than the given threshold.,134005.6,10,10,,10,134005.6
4,"looking for words in corpus that exist in count_chars.
 return only the count of thr words that exist more than threshold times",187625.2,8,8,,8,187625.2
4,count the number of occurrences of chars on a string from a given set of chars,130343.4,5,5,,5,130343.4
4,"Counts how many times a character appears in a string.
 If number of appearances is grater than threshold the puts it in list",198894,9,9,,9,198894
4,Returns an array of chars that are in count_chars and appear more then threshold times in the corpus,195242.4,10,10,,10,195242.4
4,Counts the number of chars that appear in corpus and are supposed to be counted (appear in count_chars) and appear more that thresh,86903.16,8,8,,8,86903.16
4,"עבור כל תו בקורפוס, במידה והוא בקאונט צ`ארס, מחשבים כמה פעמים הוא מופיע בקורפוס. בקיצור סופרים כמה פעמים מופיע כל תו מופיע בקורפוס במידה והוא ברשימה של אלה שצריך לספור-קאונט צ`ארס
 ואז מחזירים את התוים האלה רק עבור אלה שהופיעו יותר מהסף ת`רשהולד..",329093.6,10,10,,10,329093.6
4,"return all the chars in corpus that also appear in count_char, if tthey appear in the corpus more then threshold amount in the corpus",241000,10,10,,10,250539.3
4,"Count the number of occurrences of letters from a list of sought after letters (count_chars) in a given corpus, only if the number of occurrences of those letter are higher then a given threshold",352389.2,8,10,8,8,352389.2
4,return the chars that appears more times then the threshold,131000,9,5,9,9,133681.3
4,"ראשית היא יוצרת מילון שבו מופיעים הערכים בcorpus
 והערך שלהם הוא מספר הפעמים שבו הם הופיעו
 ואז מחזירה רשימה שכל ערכיה הם המפתחות במילון שערך שלהם היה גדול מthreshold",393000,9,10,9,9,399527.6
4,Returns a list of characters with the amount where they appear in the corpus if they are also in count_chars and they appear more than {threshold} times.,104000,10,10,,10,107056.7
4,This function returns all charecters in corpus that appear in count_chars more than threshold times.,386000,5,5,,5,417206.7
4,we have a dictionary that has words and how many times they appeared in corpus. we return all chars that their counts are bigger than certain threshold,324747,10,10,,10,324747
4,"return how many times each char in a list of characters appears in a given corpus, only for chars that appear more than a give threshold number of times.",104651.1,8,8,,8,104651.1
5,compares every 2 strings in the list and replaces them in case the last letter in the first string is bigger than the last letter in the second string,205481.2,7,7,,7,205481.2
5,Sort strings by last latter decreased,126158.9,10,10,,10,126158.9
5,Arranging a string by its charchters ascii value,316709.4,0,2,2,2,316709.4
5,buble sort,147870.9,6,6,,6,147870.9
5,sort list of strings by the last char in each string,408000.7,10,10,,10,408000.7
5,sort the str from small to big,222092,6,6,,6,222092
5,sort ascending a string list by last char of strings,96475,10,10,,10,96475
5,sort by last letter of the strings,170518.3,10,10,,10,170518.3
5,The code is really unreadable but I think it sorts the list of strings (bubble sort) according to the last char,96208.62,10,10,,10,96208.62
5,Sort strings according to last letter,228149.4,10,10,,10,228149.4
5,It will sort the list of strings in ascending order according to their last character.,272267.2,10,10,,10,272267.2
5,bubble sort,110160.4,6,6,,6,110160.4
5,it sorts an array of strings according to the last char of the string (increasing order),134976.2,10,10,,10,134976.2
5,sort the str_lst by thier last char (low to high),253708.8,10,10,,10,253708.8
5,This function sort a string list in alphabetic order according to the last letter,115000,10,10,,10,140632.4
5,מקבל רשימה של מחרוזות מחליף את הסדר של שני איברים סמוכים במידה והאות האחרונה באיבר הקודם גדולה מהאות האחרונה באיבר השני. מחזירה את הרשימה,476000,4,4,,4,480040.3
5,Sort alphabeticlly,272000,6,6,,6,283194.7
5,Sorts a list of string by their last character,260787,10,10,,10,260787
5,Sorts a list of strings by their last character.,63000,10,10,,10,110296.81
5,"the code iterates over a list of strings and sort them by the last letter in every string
 in every iteration it takes the ""max"" to the last position in the parital list we are working with
 at the end we will get a sorted list of strings by the last letter in each string",356000,10,10,,10,360795
